item_id,item_category_id,item_category_name,avg_item_price
2536,55,Музыка - CD локального производства,394.82608695652175
3424,19,Игры - PS3,1059.0330735539815
21377,40,Кино - DVD,147.8475601804518
12686,40,Кино - DVD,585.9965741255821
10378,40,Кино - DVD,148.0602980616293
19008,40,Кино - DVD,140.78936166966216
6200,55,Музыка - CD локального производства,293.13737372196084
20091,40,Кино - DVD,145.85924527972855
9870,40,Кино - DVD,221.99640441208743
10377,37,Кино - Blu-Ray,734.965330391876
14602,40,Кино - DVD,285.8
12933,40,Кино - DVD,146.72898171526955
8888,55,Музыка - CD локального производства,200.733590315092
12375,40,Кино - DVD,341.3134615384615
18164,40,Кино - DVD,336.0109259259259
11088,37,Кино - Blu-Ray,136.48518512867116
3953,55,Музыка - CD локального производства,267.15492957746477
16958,37,Кино - Blu-Ray,683.3818268218598
8204,40,Кино - DVD,433.6135648091634
3168,55,Музыка - CD локального производства,297.9689654646249
19648,40,Кино - DVD,98.09629623978226
19668,37,Кино - Blu-Ray,455.6550508749605
3870,30,Игры PC - Стандартные издания,545.1619618733724
2628,55,Музыка - CD локального производства,298.5469693270597
15822,40,Кино - DVD,27.893181822516702
12816,37,Кино - Blu-Ray,303.23652184527856
14005,40,Кино - DVD,136.5344827586207
7394,55,Музыка - CD локального производства,189.07826100225034
8840,37,Кино - Blu-Ray,629.4444444444445
8139,55,Музыка - CD локального производства,196.6208861145792
4400,55,Музыка - CD локального производства,249.0
20039,40,Кино - DVD,303.21153846153845
16678,40,Кино - DVD,172.6
12442,40,Кино - DVD,128.51666666666668
8087,40,Кино - DVD,149.0
15789,40,Кино - DVD,276.3333333333333
19213,37,Кино - Blu-Ray,179.0
7315,55,Музыка - CD локального производства,399.0
9627,37,Кино - Blu-Ray,499.0
1274,40,Кино - DVD,145.875
17900,40,Кино - DVD,339.15384615384613
1137,55,Музыка - CD локального производства,288.5652173913044
11643,40,Кино - DVD,74.66666666666667
9955,40,Кино - DVD,398.0
6103,19,Игры - PS3,1399.0
17676,30,Игры PC - Стандартные издания,28.0
4073,55,Музыка - CD локального производства,28.0
6470,30,Игры PC - Стандартные издания,235.0
14356,37,Кино - Blu-Ray,153.59285714285716
17322,40,Кино - DVD,148.18699499496498
11060,55,Музыка - CD локального производства,196.08116530338276
22046,37,Кино - Blu-Ray,708.8970394134521
13859,40,Кино - DVD,338.8655103785256
14268,55,Музыка - CD локального производства,294.7853515148163
2090,55,Музыка - CD локального производства,477.57142857142856
17781,37,Кино - Blu-Ray,268.0350515359046
21725,40,Кино - DVD,263.7549180828157
2104,55,Музыка - CD локального производства,403.73979244592056
21711,37,Кино - Blu-Ray,292.8704050604799
7503,55,Музыка - CD локального производства,440.8
19119,37,Кино - Blu-Ray,268.3771553039551
17126,40,Кино - DVD,107.98333358764648
17490,40,Кино - DVD,179.84761908913956
11206,37,Кино - Blu-Ray,140.99261545034554
8728,37,Кино - Blu-Ray,228.65624809265137
14598,37,Кино - Blu-Ray,408.3365486391129
19087,40,Кино - DVD,144.4952631498638
21862,40,Кино - DVD,144.81984129406158
6109,30,Игры PC - Стандартные издания,447.4323945381272
12414,40,Кино - DVD,422.69565217391306
12014,40,Кино - DVD,259.5
3718,30,Игры PC - Стандартные издания,337.44798482515347
21584,40,Кино - DVD,142.01984102763828
12244,40,Кино - DVD,189.73529411764707
17368,40,Кино - DVD,125.64285714285714
8709,40,Кино - DVD,204.36666666666667
1521,19,Игры - PS3,1319.6999918619792
18994,40,Кино - DVD,381.39500002653705
17409,40,Кино - DVD,448.685135300095
3709,19,Игры - PS3,298.080506971666
1092,40,Кино - DVD,110.6923076923077
20319,40,Кино - DVD,279.3142857142857
13180,30,Игры PC - Стандартные издания,185.02631578947367
17850,40,Кино - DVD,49.0
3968,55,Музыка - CD локального производства,299.0
1787,19,Игры - PS3,999.0
17415,37,Кино - Blu-Ray,248.0
20097,40,Кино - DVD,28.0
9058,40,Кино - DVD,28.0
9094,40,Кино - DVD,98.0
7206,30,Игры PC - Стандартные издания,195.78595682673762
18835,40,Кино - DVD,186.2633950504256
