item_id,avg_item_price,item_name
6066,307980.0,Radmin 3  - 522 лиц.
13199,50999.0,Коллекционные шахматы (Властелин Колец)
7241,49782.0,UserGate Proxy & Firewall 6.X с модулем фильтрации сайтов Entensys URL Filtering до 200 сессий (Academic/Social)
7238,42000.0,UserGate Proxy & Firewall 6.X до 100 сессий
14173,40900.0,Лицензия 1С-Битрикс: Управление сайтом - Эксперт
13403,39990.5,"\"Комплект \"\"Microsoft Xbox One 1TB  Limited Edition Halo 5 + \"\"Halo 5. Limited Edition\"\" [KF6-00012]\""
5748,35132.857142857145,Photoshop 13 Windows Russian BOX
13503,34990.0,Комплект «Sony PlayStation 4 (1Tb) Black (CUH-1208B)» + игра «Assassin's Creed: Синдикат» + игра «Watch_Dogs»
13448,34823.333333333336,Комплект Sony PlayStation 4 (1Tb) Black (CUH-1208B) + игра Uncharted: Натан Дрейк. Коллекция
2410,34713.5,CorelDRAW Graphics Suite X6 - Small Business Edition Russian BOX
